pair,rep,mean_dist,ci_low,ci_high
/e/–/ɛ/,Acoustic (Euclidean),0.3092,0.2068,0.4386
/e/–/ɛ/,Whisper_L4,0.009800000116229057,0.0079,0.0123
/e/–/ɛ/,Whisper_L20,0.11800000071525574,0.0073,0.3484
/e/–/ɛ/,XLSR_L4,0.05510000139474869,0.0465,0.0644
/e/–/ɛ/,XLSR_L12,0.10249999910593033,0.0873,0.1175
/e/–/ɛ/,XLSR_L20,0.022299999371170998,0.0179,0.0268
/y/–/u/,Acoustic (Euclidean),1.5245,1.381,1.6672
/y/–/u/,Whisper_L4,0.0034000000450760126,0.0026,0.0044
/y/–/u/,Whisper_L20,0.05209999904036522,0.0077,0.138
/y/–/u/,XLSR_L4,0.1492999941110611,0.1307,0.1683
/y/–/u/,XLSR_L12,0.13410000503063202,0.1153,0.1531
/y/–/u/,XLSR_L20,0.05860000103712082,0.0514,0.0657
