phoneme,group,formant,n,mean,median,sd,iqr,cv
a,L1/f,F1_lob,303,1.014,1.082,0.702,0.768,0.693
a,L1/f,F2_lob,303,-0.338,-0.696,0.691,1.214,2.044
a,L1/m,F1_lob,1033,0.811,0.772,0.898,0.746,1.107
a,L1/m,F2_lob,1033,-0.303,-0.36,0.572,0.863,1.887
a,L2/f,F1_lob,1462,0.831,0.882,0.707,0.65,0.851
a,L2/f,F2_lob,1462,-0.391,-0.517,0.465,0.666,1.188
a,L2/m,F1_lob,301,0.969,1.021,0.684,0.782,0.705
a,L2/m,F2_lob,301,-0.327,-0.375,0.508,0.769,1.554
e,L1/f,F1_lob,24,-0.358,-0.539,0.49,0.731,1.367
e,L1/f,F2_lob,24,0.867,0.846,0.134,0.14,0.154
e,L1/m,F1_lob,85,-0.08,-0.272,0.538,0.92,6.742
e,L1/m,F2_lob,85,0.642,0.701,0.327,0.434,0.509
e,L2/f,F1_lob,107,-0.184,-0.184,0.442,0.558,2.41
e,L2/f,F2_lob,107,0.564,0.694,0.748,0.745,1.325
e,L2/m,F1_lob,25,-0.226,-0.23,0.226,0.303,1.0
e,L2/m,F2_lob,25,0.816,0.842,0.307,0.263,0.376
i,L1/f,F1_lob,204,-0.833,-0.927,0.402,0.519,0.483
i,L1/f,F2_lob,204,1.303,1.294,0.165,0.206,0.127
i,L1/m,F1_lob,704,-1.036,-1.067,0.298,0.368,0.288
i,L1/m,F2_lob,704,1.371,1.402,0.395,0.268,0.288
i,L2/f,F1_lob,778,-0.981,-1.016,0.422,0.454,0.43
i,L2/f,F2_lob,778,1.392,1.561,0.757,0.437,0.544
i,L2/m,F1_lob,184,-1.117,-1.165,0.268,0.296,0.24
i,L2/m,F2_lob,184,1.395,1.464,0.474,0.39,0.339
o,L1/f,F1_lob,12,-0.843,-0.802,0.136,0.256,0.161
o,L1/f,F2_lob,12,-0.775,-0.779,0.198,0.303,0.256
o,L1/m,F1_lob,42,-0.495,-0.493,0.179,0.196,0.361
o,L1/m,F2_lob,42,-0.547,-0.575,0.215,0.254,0.393
o,L2/f,F1_lob,48,-0.554,-0.571,0.229,0.321,0.414
o,L2/f,F2_lob,48,-0.52,-0.477,0.328,0.448,0.632
o,L2/m,F1_lob,12,-0.448,-0.439,0.278,0.473,0.621
o,L2/m,F2_lob,12,-0.815,-0.841,0.113,0.141,0.139
u,L1/f,F1_lob,73,-0.961,-0.902,0.394,0.471,0.41
u,L1/f,F2_lob,73,-1.275,-1.34,0.4,0.464,0.314
u,L1/m,F1_lob,250,-0.689,-0.697,0.336,0.383,0.487
u,L1/m,F2_lob,250,-1.32,-1.342,0.44,0.588,0.333
u,L2/f,F1_lob,317,-0.912,-0.943,0.351,0.374,0.385
u,L2/f,F2_lob,317,-1.156,-1.23,0.501,0.621,0.433
u,L2/m,F1_lob,73,-0.981,-0.982,0.254,0.283,0.259
u,L2/m,F2_lob,73,-1.115,-1.215,0.62,0.635,0.556
y,L1/f,F1_lob,60,-1.148,-1.078,0.337,0.35,0.294
y,L1/f,F2_lob,60,0.533,0.558,0.378,0.512,0.709
y,L1/m,F1_lob,213,-0.509,-0.853,1.259,0.387,2.476
y,L1/m,F2_lob,213,0.378,0.415,0.535,0.618,1.416
y,L2/f,F1_lob,205,-0.954,-0.982,0.435,0.39,0.456
y,L2/f,F2_lob,205,0.201,0.233,0.493,0.64,2.452
y,L2/m,F1_lob,60,-0.952,-1.009,0.412,0.331,0.433
y,L2/m,F2_lob,60,0.147,0.443,0.692,0.498,4.709
ø,L1/f,F1_lob,24,-0.616,-0.592,0.17,0.27,0.276
ø,L1/f,F2_lob,24,0.366,0.406,0.35,0.362,0.956
ø,L1/m,F1_lob,84,-0.51,-0.486,0.209,0.28,0.409
ø,L1/m,F2_lob,84,0.038,0.048,0.203,0.275,5.36
ø,L2/f,F1_lob,95,-0.378,-0.423,0.355,0.57,0.939
ø,L2/f,F2_lob,95,0.046,0.134,0.418,0.456,9.135
ø,L2/m,F1_lob,25,-0.478,-0.503,0.308,0.314,0.645
ø,L2/m,F2_lob,25,0.197,0.324,0.46,0.157,2.332
ɑ,L1/f,F1_lob,129,0.279,0.302,0.445,0.679,1.595
ɑ,L1/f,F2_lob,129,-0.987,-0.992,0.176,0.283,0.179
ɑ,L1/m,F1_lob,479,0.411,0.426,0.332,0.389,0.806
ɑ,L1/m,F2_lob,479,-0.909,-0.925,0.191,0.162,0.211
ɑ,L2/f,F1_lob,262,0.468,0.487,0.712,0.761,1.522
ɑ,L2/f,F2_lob,262,-0.798,-0.836,0.342,0.26,0.429
ɑ,L2/m,F1_lob,137,0.446,0.474,0.315,0.327,0.706
ɑ,L2/m,F2_lob,137,-0.955,-0.921,0.263,0.369,0.275
ɑ̃,L1/f,F1_lob,24,-0.129,-0.133,0.68,0.702,5.289
ɑ̃,L1/f,F2_lob,24,-1.132,-1.169,0.265,0.168,0.234
ɑ̃,L1/m,F1_lob,81,0.266,0.231,0.418,0.551,1.574
ɑ̃,L1/m,F2_lob,81,-1.068,-1.148,0.525,0.271,0.492
ɑ̃,L2/f,F1_lob,89,-0.056,-0.301,0.941,1.577,16.726
ɑ̃,L2/f,F2_lob,89,-0.846,-0.938,0.403,0.479,0.477
ɑ̃,L2/m,F1_lob,13,0.551,0.702,0.556,0.745,1.008
ɑ̃,L2/m,F2_lob,13,-0.775,-0.834,0.414,0.12,0.534
ə,L1/f,F1_lob,19,-0.412,-0.107,1.041,0.823,2.523
ə,L1/f,F2_lob,19,0.201,0.219,0.227,0.226,1.127
ə,L1/m,F1_lob,11,-0.38,-0.349,0.443,0.512,1.166
ə,L1/m,F2_lob,11,-0.094,-0.156,0.193,0.364,2.063
ə,L2/f,F1_lob,83,-0.198,-0.247,0.892,1.086,4.502
ə,L2/f,F2_lob,83,-0.07,0.012,0.511,0.685,7.284
ə,L2/m,F1_lob,4,0.606,0.609,0.145,0.096,0.239
ə,L2/m,F2_lob,4,0.209,0.378,0.65,0.692,3.102
ɛ,L1/f,F1_lob,36,0.285,0.43,0.477,0.489,1.674
ɛ,L1/f,F2_lob,36,0.781,0.859,0.228,0.298,0.292
ɛ,L1/m,F1_lob,126,0.223,0.185,0.278,0.333,1.246
ɛ,L1/m,F2_lob,126,0.68,0.698,0.302,0.461,0.445
ɛ,L2/f,F1_lob,143,0.097,0.077,0.435,0.632,4.48
ɛ,L2/f,F2_lob,143,0.472,0.645,0.735,0.698,1.559
ɛ,L2/m,F1_lob,42,-0.125,-0.108,0.334,0.417,2.681
ɛ,L2/m,F2_lob,42,0.921,0.929,0.259,0.325,0.281
ɛ̃,L2/f,F1_lob,5,0.002,-0.299,0.573,0.878,275.929
ɛ̃,L2/f,F2_lob,5,-0.522,-0.745,0.515,0.374,0.987
