,i,e,ɛ,a,ɑ,o,u,y,ø,ə
i,-1.1920928955078125e-07,0.026451468467712402,0.05315202474594116,0.040782034397125244,0.06226921081542969,0.039817094802856445,0.016351938247680664,0.008581399917602539,0.04535716772079468,0.04932659864425659
e,0.026451468467712402,1.1920928955078125e-07,0.009178400039672852,0.005443453788757324,0.010917186737060547,0.0030630826950073242,0.010016202926635742,0.012001574039459229,0.0038614869117736816,0.006632089614868164
ɛ,0.05315202474594116,0.009178400039672852,0.0,0.0038994550704956055,0.005007266998291016,0.007371425628662109,0.016648948192596436,0.02784353494644165,0.005838155746459961,0.0025864839553833008
a,0.040782034397125244,0.005443453788757324,0.0038994550704956055,-1.1920928955078125e-07,0.005124568939208984,0.006226301193237305,0.010431408882141113,0.017264604568481445,0.005862772464752197,0.002262592315673828
ɑ,0.06226921081542969,0.010917186737060547,0.005007266998291016,0.005124568939208984,1.1920928955078125e-07,0.007217109203338623,0.026433825492858887,0.03502124547958374,0.004132628440856934,0.0047623515129089355
o,0.039817094802856445,0.0030630826950073242,0.007371425628662109,0.006226301193237305,0.007217109203338623,0.0,0.01715010404586792,0.021019339561462402,0.0018924474716186523,0.004927992820739746
u,0.016351938247680664,0.010016202926635742,0.016648948192596436,0.010431408882141113,0.026433825492858887,0.01715010404586792,0.0,0.0029726028442382812,0.020250797271728516,0.015829622745513916
y,0.008581399917602539,0.012001574039459229,0.02784353494644165,0.017264604568481445,0.03502124547958374,0.021019339561462402,0.0029726028442382812,0.0,0.02543550729751587,0.024188458919525146
ø,0.04535716772079468,0.0038614869117736816,0.005838155746459961,0.005862772464752197,0.004132628440856934,0.0018924474716186523,0.020250797271728516,0.02543550729751587,0.0,0.0040991902351379395
ə,0.04932659864425659,0.006632089614868164,0.0025864839553833008,0.002262592315673828,0.0047623515129089355,0.004927992820739746,0.015829622745513916,0.024188458919525146,0.0040991902351379395,1.1920928955078125e-07
