,i,e,ɛ,a,ɑ,o,u,y,ø,ə
i,0.0,0.06889152526855469,0.09615969657897949,0.13131970167160034,0.1667020320892334,0.11312520503997803,0.09601110219955444,0.056475281715393066,0.08055400848388672,0.1286776065826416
e,0.06889152526855469,5.960464477539063e-08,0.021341800689697266,0.07949018478393555,0.13067293167114258,0.08546710014343262,0.11083078384399414,0.05656635761260986,0.03136444091796875,0.09242165088653564
ɛ,0.09615969657897949,0.021341800689697266,1.1920928955078125e-07,0.059554457664489746,0.11789226531982422,0.10903608798980713,0.13123184442520142,0.08640468120574951,0.0500909686088562,0.08616334199905396
a,0.13131970167160034,0.07949018478393555,0.059554457664489746,0.0,0.040110230445861816,0.09356862306594849,0.11024105548858643,0.11421585083007812,0.08035916090011597,0.058829545974731445
ɑ,0.1667020320892334,0.13067293167114258,0.11789226531982422,0.040110230445861816,1.1920928955078125e-07,0.09705537557601929,0.11505043506622314,0.15424716472625732,0.11659902334213257,0.12246161699295044
o,0.11312520503997803,0.08546710014343262,0.10903608798980713,0.09356862306594849,0.09705537557601929,0.0,0.05032205581665039,0.07720589637756348,0.06409990787506104,0.14744848012924194
u,0.09601110219955444,0.11083078384399414,0.13123184442520142,0.11024105548858643,0.11505043506622314,0.05032205581665039,0.0,0.05789542198181152,0.08229410648345947,0.14461946487426758
y,0.056475281715393066,0.05656635761260986,0.08640468120574951,0.11421585083007812,0.15424716472625732,0.07720589637756348,0.05789542198181152,1.1920928955078125e-07,0.032894253730773926,0.09964263439178467
ø,0.08055400848388672,0.03136444091796875,0.0500909686088562,0.08035916090011597,0.11659902334213257,0.06409990787506104,0.08229410648345947,0.032894253730773926,0.0,0.07551002502441406
ə,0.1286776065826416,0.09242165088653564,0.08616334199905396,0.058829545974731445,0.12246161699295044,0.14744848012924194,0.14461946487426758,0.09964263439178467,0.07551002502441406,2.384185791015625e-07
