,i,e,ɛ,a,ɑ,o,u,y,ø,ə
i,0.0,1.1031917828645323,1.354815189354358,2.5326084713261374,2.6741061456930293,2.0126097328321118,2.6008091892230683,1.0910557998812356,1.3889410855748978,1.594949558108544
e,1.1031917828645323,0.0,0.30470585891608054,1.4302909814439262,1.6500392408931839,1.29339367264178,1.9882720109501844,0.7189305345402219,0.6276998490128403,0.6686431326283447
ɛ,1.354815189354358,0.30470585891608054,0.0,1.219349741342458,1.5547949906388898,1.401420329670113,2.0989612826159343,0.9918115560928774,0.8063889355757894,0.7442272345897879
a,2.5326084713261374,1.4302909814439262,1.219349741342458,0.0,0.7022189677512496,1.4271815179557947,1.911713969115577,1.778738887092291,1.3911577565480933,1.1280515427968867
ɑ,2.6741061456930293,1.6500392408931839,1.5547949906388898,0.7022189677512496,0.0,1.0134078954195211,1.3010549469934256,1.7047877144818753,1.3217572023181021,1.0837441705869217
o,2.0126097328321118,1.29339367264178,1.401420329670113,1.4271815179557947,1.0134078954195211,0.0,0.698956394573664,0.9234648300023169,0.6866498071878506,0.657280583224668
u,2.6008091892230683,1.9882720109501844,2.0989612826159343,1.911713969115577,1.3010549469934256,0.698956394573664,0.0,1.5243817271562492,1.3695287612134102,1.354871173845497
y,1.0910557998812356,0.7189305345402219,0.9918115560928774,1.778738887092291,1.7047877144818753,0.9234648300023169,1.5243817271562492,0.0,0.39579768254938674,0.6597909844895441
ø,1.3889410855748978,0.6276998490128403,0.8063889355757894,1.3911577565480933,1.3217572023181021,0.6866498071878506,1.3695287612134102,0.39579768254938674,0.0,0.26513296360132654
ə,1.594949558108544,0.6686431326283447,0.7442272345897879,1.1280515427968867,1.0837441705869217,0.657280583224668,1.354871173845497,0.6597909844895441,0.26513296360132654,0.0
