,i,e,ɛ,a,ɑ,o,u,y,ø,ə
i,0.0,0.9494150570053382,1.1877963597142067,2.176726869126791,2.3668115909518535,1.985619785271022,2.72880291539076,1.092763587865864,1.2879672960739834,1.429105319024291
e,0.9494150570053382,0.0,0.31868664372174477,1.2288772632150111,1.548596829755199,1.5156762757510178,2.3549354938619342,0.87257155226921,0.7626597141289826,0.736141579075667
ɛ,1.1877963597142067,0.31868664372174477,0.0,1.0627593367238832,1.5595971282783296,1.708744638129174,2.5498717827790793,1.1674801804597514,0.9999156244677083,0.9061204888013217
a,2.176726869126791,1.2288772632150111,1.0627593367238832,0.0,0.8696007872336347,1.6038462512921676,2.3098310365450856,1.6490010522041376,1.3125389081290815,1.0742728096947065
ɑ,2.3668115909518535,1.548596829755199,1.5595971282783296,0.8696007872336347,0.0,0.9613574936396312,1.4983765440956685,1.4647308033809512,1.138719905933559,0.9452665443903333
o,1.985619785271022,1.5156762757510178,1.708744638129174,1.6038462512921676,0.9613574936396312,0.0,0.8420287338229088,0.8951257835409044,0.7678426577297223,0.8026790285389193
u,2.72880291539076,2.3549354938619342,2.5498717827790793,2.3098310365450856,1.4983765440956685,0.8420287338229088,0.0,1.6506556268110784,1.5983189058686973,1.6438381899663617
y,1.092763587865864,0.87257155226921,1.1674801804597514,1.6490010522041376,1.4647308033809512,0.8951257835409044,1.6506556268110784,0.0,0.3486810398627949,0.5879547603621317
ø,1.2879672960739834,0.7626597141289826,0.9999156244677083,1.3125389081290815,1.138719905933559,0.7678426577297223,1.5983189058686973,0.3486810398627949,0.0,0.24109317278560985
ə,1.429105319024291,0.736141579075667,0.9061204888013217,1.0742728096947065,0.9452665443903333,0.8026790285389193,1.6438381899663617,0.5879547603621317,0.24109317278560985,0.0
