model,pc,step,aic,bic,loglik,icc,var_u,var_eps,lrt_vs_null,p_lrt,beta_L2,beta_Male,p_L2,p_Male,r2m,r2c,lrt_vs_main,beta_L2xMale,p_L2xMale,lrt_vs_full
Whisper_L4,PC1,null,23429.16,23450.23,-11711.5815,0.0625,0.0657,0.985,,,,,,,,,,,,
Whisper_L4,PC1,main,23431.84,23466.95,-11710.9205,,,,1.322,0.516346,-0.1105,0.037,0.435463,0.793789,0.0573,0.1123,,,,
Whisper_L4,PC1,full,23433.47,23475.6,-11710.7355,,,,,0.542976,,,,,0.0573,0.1114,0.37,-0.1716,0.540965,
Whisper_L4,PC1,extended,20431.3,20487.47,-10207.6519,,,,,,,,,,0.3294,0.382,,,,3006.167
Whisper_L4,PC2,null,23855.39,23876.45,-11924.6958,0.016,0.0169,1.0402,,,,,,,,,,,,
Whisper_L4,PC2,main,23855.76,23890.87,-11922.8814,,,,3.629,0.162939,-0.0429,-0.1354,0.545658,0.056718,0.0139,0.0266,,,,
Whisper_L4,PC2,full,23856.96,23899.09,-11922.4811,,,,,0.370896,,,,,0.0139,0.026,0.801,-0.1258,0.365674,
Whisper_L4,PC2,extended,23697.26,23753.43,-11840.6325,,,,,,,,,,0.0331,0.0453,,,,163.697
Whisper_L4,PC3,null,22068.78,22089.85,-11031.3922,0.1545,0.1524,0.8338,,,,,,,,,,,,
Whisper_L4,PC3,main,22064.14,22099.24,-11027.0679,,,,8.649,0.013243,-0.3283,0.2034,0.062286,0.248147,0.1387,0.2276,,,,
Whisper_L4,PC3,full,22066.06,22108.19,-11027.0303,,,,,0.783941,,,,,0.1387,0.2273,0.075,-0.0965,0.783729,
Whisper_L4,PC3,extended,21962.81,22018.97,-10973.4035,,,,,,,,,,0.1487,0.2375,,,,107.254
Whisper_L4,PC4,null,20848.36,20869.43,-10421.1822,0.2216,0.2047,0.7187,,,,,,,,,,,,
Whisper_L4,PC4,main,20824.04,20859.14,-10407.0186,,,,28.327,1e-06,0.2532,-0.6273,0.036892,0.0,0.2096,0.256,,,,
Whisper_L4,PC4,full,20823.77,20865.9,-10405.8864,,,,,0.13238,,,,,0.2108,0.252,2.264,0.3545,0.120964,
Whisper_L4,PC4,extended,20802.21,20858.38,-10393.1062,,,,,,,,,,0.2131,0.2542,,,,25.56
Whisper_L4,PC5,null,23133.55,23154.61,-11563.7739,0.0126,0.0122,0.9538,,,,,,,,,,,,
Whisper_L4,PC5,main,23128.23,23163.34,-11559.1169,,,,9.314,0.009496,-0.0538,0.1118,0.30826,0.034191,0.0108,0.0176,,,,
Whisper_L4,PC5,full,23129.84,23171.97,-11558.9205,,,,,0.530785,,,,,0.0108,0.0174,0.393,0.0659,0.528644,
Whisper_L4,PC5,extended,23130.08,23186.24,-11557.0382,,,,,,,,,,0.0112,0.0178,,,,3.765
Whisper_L20,PC1,null,23909.14,23930.2,-11951.5694,0.016,0.0171,1.047,,,,,,,,,,,,
Whisper_L20,PC1,main,23910.05,23945.15,-11950.0233,,,,3.092,0.213074,-0.0167,-0.1171,0.817537,0.105843,0.014,0.0271,,,,
Whisper_L20,PC1,full,23911.39,23953.52,-11949.6948,,,,,0.417638,,,,,0.014,0.0266,0.657,-0.1164,0.413656,
Whisper_L20,PC1,extended,23475.58,23531.75,-11729.7905,,,,,,,,,,0.0646,0.077,,,,439.809
Whisper_L20,PC2,null,22739.26,22760.32,-11366.6294,0.0294,0.0275,0.9078,,,,,,,,,,,,
Whisper_L20,PC2,main,22742.92,22778.02,-11366.4588,,,,0.341,0.843134,0.0456,-0.0005,0.634225,0.995586,0.0265,0.0545,,,,
Whisper_L20,PC2,full,22743.46,22785.59,-11365.731,,,,,0.227651,,,,,0.0266,0.0524,1.455,0.227,0.218632,
Whisper_L20,PC2,extended,21064.81,21120.98,-10524.405,,,,,,,,,,0.2016,0.227,,,,1682.652
Whisper_L20,PC3,null,22128.67,22149.74,-11061.3371,0.0334,0.0292,0.843,,,,,,,,,,,,
Whisper_L20,PC3,main,22123.08,22158.19,-11056.5414,,,,9.592,0.008265,0.1481,-0.1012,0.05488,0.189688,0.031,0.0499,,,,
Whisper_L20,PC3,full,22125.08,22167.21,-11056.5412,,,,,0.98588,,,,,0.031,0.0499,0.0,0.0027,0.98588,
Whisper_L20,PC3,extended,21072.13,21128.3,-10528.0662,,,,,,,,,,0.1453,0.1642,,,,1056.95
Whisper_L20,PC4,null,23096.54,23117.6,-11545.2677,0.0391,0.0386,0.9472,,,,,,,,,,,,
Whisper_L20,PC4,main,23086.02,23121.12,-11538.0091,,,,14.517,0.000704,0.1996,-0.1311,0.009991,0.090699,0.0365,0.0533,,,,
Whisper_L20,PC4,full,23087.76,23129.88,-11537.8794,,,,,0.610536,,,,,0.0365,0.053,0.259,-0.0787,0.609293,
Whisper_L20,PC4,extended,22493.28,22549.44,-11238.638,,,,,,,,,,0.1028,0.1195,,,,598.483
Whisper_L20,PC4,random_slope,23091.74,23147.9,-11537.8685,,,,,0.98912,,,,,,,,,,0.022
Whisper_L20,PC5,null,23588.45,23609.51,-11791.2231,0.0311,0.0323,1.0058,,,,,,,,,,,,
Whisper_L20,PC5,main,23585.97,23621.08,-11787.987,,,,6.472,0.039317,-0.1716,0.044,0.052144,0.618412,0.0284,0.0495,,,,
Whisper_L20,PC5,full,23587.93,23630.06,-11787.9653,,,,,0.83496,,,,,0.0284,0.0495,0.043,-0.0368,0.834856,
Whisper_L20,PC5,extended,23506.9,23563.07,-11745.4498,,,,,,,,,,0.0382,0.0591,,,,85.031
XLSR_L4,PC1,null,6883.54,6904.6,-3438.7695,0.0148,0.002,0.1338,,,,,,,,,,,,
