phoneme,formant,obs_diff,ci_low,ci_high,excludes_zero,rope_class
i,F1_lob,0.0169,-0.1617,0.2032,0,Indeterminate
i,F2_lob,-0.0364,-0.124,0.0498,0,Indeterminate
e,F1_lob,0.0506,-0.1265,0.2036,0,Indeterminate
e,F2_lob,0.0794,-0.1201,0.2684,0,Indeterminate
ɛ,F1_lob,0.1901,-0.0127,0.4051,0,Indeterminate
ɛ,F2_lob,0.1286,-0.0626,0.3197,0,Indeterminate
a,F1_lob,0.0021,-0.1284,0.1306,0,Indeterminate
a,F2_lob,0.0686,-0.026,0.1599,0,Indeterminate
ɑ,F1_lob,-0.0768,-0.398,0.1648,0,Indeterminate
ɑ,F2_lob,-0.0737,-0.2214,0.043,0,Indeterminate
o,F1_lob,-0.0401,-0.2224,0.123,0,Indeterminate
o,F2_lob,-0.0186,-0.2277,0.2032,0,Indeterminate
u,F1_lob,0.1741,0.037,0.2955,1,Indeterminate
u,F2_lob,-0.1612,-0.2943,-0.0425,1,Indeterminate
y,F1_lob,0.3048,0.0354,0.5951,1,Indeterminate
y,F2_lob,0.2232,0.0004,0.4414,1,Indeterminate
ø,F1_lob,-0.1349,-0.3423,0.067,0,Indeterminate
ø,F2_lob,0.0335,-0.1603,0.2472,0,Indeterminate
ə,F1_lob,-0.2396,-0.5356,0.2943,0,Indeterminate
ə,F2_lob,0.1501,-0.1721,0.4117,0,Indeterminate
