model,phoneme,obs_dist,ci_low,ci_high
Whisper_L4,i,0.003682,0.002773,0.011693
Whisper_L4,e,0.007063,0.005175,0.017767
Whisper_L4,ɛ,0.004484,0.003767,0.010396
Whisper_L4,a,0.005793,0.002832,0.012332
Whisper_L4,ɑ,0.005942,0.003207,0.015526
Whisper_L4,o,0.01023,0.007997,0.028288
Whisper_L4,u,0.003752,0.002856,0.008595
Whisper_L4,y,0.005328,0.003995,0.013383
Whisper_L4,ø,0.008545,0.00467,0.02424
Whisper_L4,ə,0.0078,0.008096,0.046579
Whisper_L20,i,0.009854,0.007412,0.041515
Whisper_L20,e,0.198162,0.017803,0.422079
Whisper_L20,ɛ,0.169502,0.040234,0.340552
Whisper_L20,a,0.004507,0.000858,0.024553
Whisper_L20,ɑ,0.008051,0.002043,0.065745
Whisper_L20,o,0.078041,0.012463,0.31927
Whisper_L20,u,0.105447,0.018546,0.359876
Whisper_L20,y,0.052157,0.005299,0.276616
Whisper_L20,ø,0.013769,0.008391,0.10733
Whisper_L20,ə,0.179764,0.043134,0.47812
XLSR_L4,i,0.042344,0.027043,0.082727
XLSR_L4,e,0.051176,0.032526,0.10107
XLSR_L4,ɛ,0.04746,0.033092,0.09295
XLSR_L4,a,0.032032,0.024305,0.058814
XLSR_L4,ɑ,0.047815,0.035761,0.118257
XLSR_L4,o,0.038084,0.028676,0.083381
XLSR_L4,u,0.032863,0.020755,0.067869
XLSR_L4,y,0.037678,0.024676,0.079961
XLSR_L4,ø,0.047858,0.034103,0.095603
XLSR_L4,ə,0.04339,0.045402,0.208499
XLSR_L12,i,0.025936,0.015546,0.053204
XLSR_L12,e,0.046863,0.031954,0.089186
XLSR_L12,ɛ,0.039197,0.029826,0.07216
XLSR_L12,a,0.02222,0.017412,0.04066
XLSR_L12,ɑ,0.041047,0.032277,0.097748
XLSR_L12,o,0.029208,0.023405,0.069764
XLSR_L12,u,0.022217,0.016059,0.045939
XLSR_L12,y,0.030357,0.023379,0.060061
XLSR_L12,ø,0.051672,0.036419,0.097602
XLSR_L12,ə,0.032774,0.036335,0.177128
XLSR_L20,i,0.01458,0.008552,0.030252
XLSR_L20,e,0.018298,0.011699,0.039036
XLSR_L20,ɛ,0.016219,0.011284,0.03464
XLSR_L20,a,0.010894,0.007744,0.023138
XLSR_L20,ɑ,0.017887,0.013808,0.047241
XLSR_L20,o,0.015874,0.010325,0.039219
XLSR_L20,u,0.012005,0.007637,0.027318
XLSR_L20,y,0.013715,0.009059,0.030284
XLSR_L20,ø,0.018328,0.012596,0.038513
XLSR_L20,ə,0.013934,0.015548,0.069758
